queue_id,e2_seed_id,source_table,source_row_id,title,source_url,artifact_url,observed_public_files,seed_status,first_freeze_blocker,needs_external_source_check,public_source_candidates,freeze_state,next_action,current_cycle_package_status,current_cycle_next_action,current_cycle_source
E2Q-001,E2S-001,artifact_corpus_v1.csv,v0-01,Reportable bundle,docs/evidence/admitted-results-summary.md,five mixed-strength reportable rows,reportable metric bundle,candidate_for_freeze_review,eligible for E2 blind freeze review,1,,needs_public_source_refresh,replace local evidence note with public source URL,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-002,E2S-002,artifact_corpus_v1.csv,v0-02,H2 output-cloud geometry,docs/evidence/h2-output-cloud-geometry-20260525.md,existing H2 response caches,response cache plus replayed metrics,candidate_for_freeze_review,eligible for E2 blind freeze review,1,,needs_public_source_refresh,replace local evidence note with public source URL,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-003,E2S-003,artifact_corpus_v1.csv,v0-03,SD/CelebA img2img portability,docs/evidence/h2-img2img-output-cloud-portability-20260525.md,existing SD/CelebA img2img response caches,response cache plus replayed metrics,candidate_for_freeze_review,consumer/delta boundary needs blind review,1,,needs_public_source_refresh,replace local evidence note with public source URL,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-004,E2S-004,artifact_corpus_v1.csv,v0-04,CLiD official inter-output,docs/evidence/clid-identity-manifest-gate-20260515.md,official inter-output score files,score files,candidate_for_freeze_review,eligible for E2 blind freeze review,1,https://github.com/zhaisf/CLiD,needs_public_source_refresh,replace local evidence note with public source URL,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-005,E2S-005,artifact_corpus_v1.csv,v0-05,Tracing the Roots,docs/evidence/tracing-roots-feature-packet-mia-20260515.md,OpenReview feature tensors and replay code,feature packet,candidate_for_freeze_review,eligible for E2 blind freeze review,1,https://openreview.net/forum?id=mE74JKHTCE; https://openreview.net/attachment?id=mE74JKHTCE&name=supplementary_material,needs_public_source_refresh,replace local evidence note with public source URL,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-006,E2S-006,artifact_corpus_v1.csv,v0-06,CopyMark official score artifacts,docs/evidence/copymark-official-score-artifact-gate-20260515.md,official result JSON/image logs/score tensors,score artifacts,candidate_for_freeze_review,eligible for E2 blind freeze review,1,https://github.com/caradryanl/CopyMark,needs_public_source_refresh,replace local evidence note with public source URL,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-007,E2S-007,artifact_corpus_v1.csv,v0-07,ReDiffuse STL-10 scout,docs/evidence/rediffuse-stl10-bounded-scout-20260525.md,exact split plus bounded local score packet,split plus local score packet,candidate_for_freeze_review,consumer/delta boundary needs blind review,1,,needs_public_source_refresh,replace local evidence note with public source URL,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-008,E2S-008,artifact_corpus_v1.csv,v0-08,CommonCanvas response packet,docs/evidence/commoncanvas-denoising-loss-20260513.md; workspaces/black-box/artifacts/commoncanvas-denoising-loss-20260513.json,real 50/50 query-response contract,response packet,candidate_for_freeze_review,consumer/delta boundary needs blind review,1,,needs_public_source_refresh,replace local evidence note with public source URL,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-009,E2S-009,artifact_corpus_v1.csv,v0-09,MIDST Blending++,docs/evidence/midst-blending-plus-plus-scout-20260515.md,official score exports plus local labels,score exports,candidate_for_freeze_review,eligible for E2 blind freeze review,1,https://github.com/CRCHUM-CITADEL/ensemble-mia,needs_public_source_refresh,replace local evidence note with public source URL,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-010,E2S-010,artifact_corpus_v1.csv,v0-10,Separately supplied SD ReDiffuse,docs/evidence/stable-diffusion-rediffuse-collaborator-artifact-20260517.md,restricted 5000-row packet and ROC files,restricted score packet,candidate_for_freeze_review,consumer/delta boundary needs blind review,1,,needs_public_source_refresh,replace local evidence note with public source URL,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-011,E2S-011,artifact_corpus_v1.csv,v0-11,Quantile/SecMI public packet,docs/evidence/quantile-diffusion-mia-secmia-terror-replay-20260515.md,third-party t_error score rows and splits,score packet,candidate_for_freeze_review,eligible for E2 blind freeze review,1,https://github.com/neilkale/quantile-diffusion-mia,needs_public_source_refresh,replace local evidence note with public source URL,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-012,E2S-020,artifact_corpus_v1.csv,v1-09,Model Will Tell / DRC,docs/evidence/model-will-tell-drc-artifact-gate-20260523.md,arXiv 2403.08487v1; no official code found,paper source and metadata,needs_artifact_followup,missing score/response or metric surface,1,https://arxiv.org/abs/2403.08487v1,needs_public_source_and_artifact_followup,replace local evidence note with public source URL and inspect artifact surface,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-016,E2S-030,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-02,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,https://arxiv.org/abs/2306.12983,n/a,arXiv metadata only in this batch,needs_artifact_followup,missing score/response or metric surface,0,https://arxiv.org/abs/2306.12983,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-017,E2S-032,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-04,Membership Inference of Diffusion Models,https://arxiv.org/abs/2301.09956,n/a,arXiv metadata only in this batch,needs_artifact_followup,missing score/response or metric surface,0,https://arxiv.org/abs/2301.09956,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-018,E2S-033,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-05,Are Diffusion Models Vulnerable to Membership Inference Attacks?,https://arxiv.org/abs/2302.01316,n/a,arXiv metadata only in this batch,needs_artifact_followup,missing score/response or metric surface,0,https://arxiv.org/abs/2302.01316,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-019,E2S-037,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-09,Privacy Threats in Stable Diffusion Models,https://arxiv.org/abs/2311.09355,n/a,arXiv metadata only in this batch,needs_artifact_followup,missing score/response or metric surface,0,https://arxiv.org/abs/2311.09355,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-023,E2S-050,artifact_corpus_broader_source_20260527.csv,bs20260527-openreview-03,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,https://openreview.net/forum?id=CzsDfLrcTs; https://openreview.net/forum?id=iBRAvbVjPd; https://openreview.net/forum?id=BYiX0cogWH; https://openreview.net/forum?id=Pmkt85RIbs,n/a,two WACV/IEEE PDF links and two CoRR/arXiv PDF links in API metadata; no row-bound artifact packet observed,needs_artifact_followup,missing score/response or metric surface,0,https://openreview.net/forum?id=CzsDfLrcTs; https://openreview.net/forum?id=iBRAvbVjPd; https://openreview.net/forum?id=BYiX0cogWH; https://openreview.net/forum?id=Pmkt85RIbs,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
