pilot_id,source_table,source_id,title,source_url,artifact_url,surface_type,inclusion_reason,observed_public_files,first_blocker,target_gate,split_gate,evidence_gate,metric_gate,boundary_gate,delta_gate,pilot_scope,final_proxy_wording,score_only_decision,score_only_false_promotion,score_only_bounded_mismatch,score_only_false_block,code_availability_decision,code_availability_false_promotion,code_availability_bounded_mismatch,code_availability_false_block,artifact_availability_decision,artifact_availability_false_promotion,artifact_availability_bounded_mismatch,artifact_availability_false_block,paper_claim_artifact_link_decision,paper_claim_artifact_link_false_promotion,paper_claim_artifact_link_bounded_mismatch,paper_claim_artifact_link_false_block,metric_code_split_decision,metric_code_split_false_promotion,metric_code_split_bounded_mismatch,metric_code_split_false_block,reproducibility_checklist_decision,reproducibility_checklist_false_promotion,reproducibility_checklist_bounded_mismatch,reproducibility_checklist_false_block,diffaudit_contract_decision,diffaudit_contract_false_promotion,diffaudit_contract_bounded_mismatch,diffaudit_contract_false_block
E2P-001,artifact_corpus_v1.csv,v0-01,Reportable bundle,docs/evidence/admitted-results-summary.md,five mixed-strength reportable rows,positive-control,mixed-strength positive control,reportable metric bundle,none,Pass,Pass,Pass,Pass,Pass,Partial,internal_proxy_not_external_adjudication,bounded-support,admit,0,1,0,block,0,0,0,admit,0,1,0,admit,0,1,0,block,0,0,0,admit,0,1,0,bounded-support,0,0,0
E2P-002,artifact_corpus_v1.csv,v0-02,H2 output-cloud geometry,docs/evidence/h2-output-cloud-geometry-20260525.md,existing H2 response caches,mechanism-candidate,controlled candidate mechanism,response cache plus replayed metrics,consumer-boundary mismatch,Pass,Pass,Pass,Pass,Partial,Partial,internal_proxy_not_external_adjudication,bounded-support,admit,0,1,0,block,0,0,0,admit,0,1,0,admit,0,1,0,block,0,0,0,admit,0,1,0,bounded-support,0,0,0
E2P-003,artifact_corpus_v1.csv,v0-04,CLiD official inter-output,docs/evidence/clid-identity-manifest-gate-20260515.md,official inter-output score files,positive-non-admitted,positive score packet with image-identity gap,score files,row-binding gap,Partial,Partial,Pass,Pass,Partial,Pass,internal_proxy_not_external_adjudication,candidate-only,admit,1,0,0,block,0,0,0,admit,1,0,0,admit,1,0,0,block,0,0,0,block,0,0,0,block,0,0,0
E2P-004,artifact_corpus_v1.csv,v0-06,CopyMark official score artifacts,docs/evidence/copymark-official-score-artifact-gate-20260515.md,official result JSON/image logs/score tensors,artifact-rich-partial,artifact availability vs auditability case,score artifacts,row-binding gap,Partial,Partial,Partial,Partial,Partial,Pass,internal_proxy_not_external_adjudication,candidate-only,block,0,0,0,block,0,0,0,admit,1,0,0,admit,1,0,0,block,0,0,0,block,0,0,0,block,0,0,0
E2P-005,artifact_corpus_v1.csv,v0-07,ReDiffuse STL-10 scout,docs/evidence/rediffuse-stl10-bounded-scout-20260525.md,exact split plus bounded local score packet,bounded-negative,bounded negative with clean split,split plus local score packet,weak second-contract signal,Pass,Pass,Pass,Pass,Fail,Pass,internal_proxy_not_external_adjudication,candidate-only,admit,1,0,0,block,0,0,0,admit,1,0,0,admit,1,0,0,block,0,0,0,block,0,0,0,block,0,0,0
E2P-006,artifact_corpus_v1.csv,v0-10,Separately supplied SD ReDiffuse,docs/evidence/stable-diffusion-rediffuse-collaborator-artifact-20260517.md,restricted 5000-row packet and ROC files,source-confounded,source-confounding case,restricted score packet,source confounding,Partial,Partial,Pass,Pass,Fail,Pass,internal_proxy_not_external_adjudication,candidate-only,admit,1,0,0,block,0,0,0,admit,1,0,0,admit,1,0,0,block,0,0,0,block,0,0,0,block,0,0,0
E2P-007,artifact_corpus_v1.csv,v1-03,GUARD surgical mitigation,docs/evidence/guard-surgical-mitigation-artifact-gate-20260523.md,official GitHub kairanzhao/GUARD; scripts but no row packet,code-public-no-packet,code-public no-packet case,code-public repository,code-public but no score packet,Fail,Fail,Fail,Fail,Fail,Pass,internal_proxy_not_external_adjudication,blocked,block,0,0,0,block,0,0,0,admit,1,0,0,admit,1,0,0,block,0,0,0,block,0,0,0,block,0,0,0
E2P-008,artifact_corpus_v1.csv,v1-10,Discrete DLM withdrawn paper,docs/evidence/discrete-dlm-withdrawn-artifact-gate-20260523.md,arXiv 2605.16445v2 withdrawn; no PDF or official code,withdrawn-no-artifact,withdrawn watch only,withdrawn paper metadata,withdrawn record plus no artifacts,Fail,Fail,Fail,Fail,Fail,Fail,internal_proxy_not_external_adjudication,blocked,block,0,0,0,block,0,0,0,block,0,0,0,block,0,0,0,block,0,0,0,block,0,0,0,block,0,0,0
E2P-009,artifact_corpus_fixed_search_20260526.csv,fs20260526-github-02,fseclab-osaka/mia-diffusion,https://github.com/fseclab-osaka/mia-diffusion,https://github.com/fseclab-osaka/mia-diffusion,included_existing_gate,included_existing_gate,DDIM/DCGAN code; attack scripts; deterministic runtime split construction; FID stats; no checkpoint-bound score packet,already covered by FSECLab artifact gate; no frozen checkpoint/score/ROC packet or immutable split manifest,Fail,Partial,Fail,Fail,Partial,Pass,internal_proxy_not_external_adjudication,blocked,block,0,0,0,admit,1,0,0,admit,1,0,0,admit,1,0,0,block,0,0,0,block,0,0,0,block,0,0,0
E2P-010,artifact_corpus_fixed_search_20260526.csv,fs20260526-github-03,Divya1201/diffusion-privacy-attacks,https://github.com/Divya1201/diffusion-privacy-attacks,https://github.com/Divya1201/diffusion-privacy-attacks,included_new_metadata,included_new_metadata,README; scripts/download_laion_subset.py; scripts/generate.py; scripts/run_attack.py; scripts/run_attack_dp.py; src attack/evaluation modules; no committed score or manifest packet,"code-public but no target checkpoint, immutable member/nonmember split, response packet, score rows, ROC array, metric JSON, or verifier output",Fail,Fail,Fail,Fail,Fail,Pass,internal_proxy_not_external_adjudication,blocked,block,0,0,0,admit,1,0,0,admit,1,0,0,admit,1,0,0,block,0,0,0,block,0,0,0,block,0,0,0
E2P-011,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-02,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,https://arxiv.org/abs/2306.12983,n/a,included_metadata_only,included_metadata_only,arXiv metadata only in this batch,relevant paper hit but no row-bound public replay surface checked in this batch,Partial,Fail,Fail,Fail,Partial,Pass,internal_proxy_not_external_adjudication,blocked,block,0,0,0,block,0,0,0,block,0,0,0,block,0,0,0,block,0,0,0,block,0,0,0,block,0,0,0
E2P-012,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-05,Are Diffusion Models Vulnerable to Membership Inference Attacks?,https://arxiv.org/abs/2302.01316,n/a,included_metadata_only,included_metadata_only,arXiv metadata only in this batch,relevant paper hit but no row-bound public replay surface checked in this batch,Partial,Fail,Fail,Fail,Partial,Pass,internal_proxy_not_external_adjudication,blocked,block,0,0,0,block,0,0,0,block,0,0,0,block,0,0,0,block,0,0,0,block,0,0,0,block,0,0,0
E2P-013,artifact_corpus_targeted_artifact_links_20260527.csv,ta20260527-hf-01,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,https://arxiv.org/abs/2306.12983,https://huggingface.co/datasets/antoniaaa/laion_mi,L1 artifact inspection,included_distinct_l1_artifact_surface,"Dataset Viewer reports default config with members=13396 rows and nonmembers=26874 rows, total=40270 rows, two columns (url, caption), and separate members/nonmembers parquet shards; dataset card links arXiv 2306.12983 and states the dataset and setup are published","Public row split artifact exists, but no row-score, response, ROC, metric JSON, checkpoint identity, or verifier packet was observed in this pass",Partial,Pass,Partial,Fail,Partial,Pass,internal_proxy_not_external_adjudication,blocked,block,0,0,0,block,0,0,0,admit,1,0,0,admit,1,0,0,block,0,0,0,block,0,0,0,block,0,0,0
E2P-014,artifact_corpus_targeted_artifact_links_20260527.csv,ta20260527-github-02,Are Diffusion Models Vulnerable to Membership Inference Attacks?,https://arxiv.org/abs/2302.01316,https://github.com/jinhaoduan/SecMI,L1 artifact inspection,included_distinct_l1_artifact_surface,"README states this is the official implementation, names SecMI, documents training and SecMI execution, says default training loads splittings stored in mia_evals/member_splits, and links pretrained models; repository tree exposes README.md, secmia.py, main.py, train.sh, mia_evals/member_splits with four train_ratio0.5 split npz files, mia_evals/measures, score, and stats/cifar10.train.npz","Official code and split artifacts are visible, but no row-score array, model response/feature packet, ROC, metric JSON, checkpoint hash, or verifier packet was observed in this pass",Partial,Pass,Partial,Fail,Partial,Pass,internal_proxy_not_external_adjudication,blocked,block,0,0,0,admit,1,0,0,admit,1,0,0,admit,1,0,0,block,0,0,0,block,0,0,0,block,0,0,0
E2P-015,artifact_corpus_targeted_artifact_links_20260527.csv,ta20260527-github-03,Membership Inference of Diffusion Models,https://arxiv.org/abs/2301.09956,https://github.com/HailongHuPri/MIDM,L1 artifact inspection,included_distinct_l1_artifact_surface,"README links the arXiv and ISC paper, describes data_process.py producing ffhq_1000_idx.npy for member/nonmember indices, documents a pre-trained DDPM Google Drive link, says loss_attack.py outputs loss values of all samples, says likelihood_attack.py outputs likelihood values of all samples, and lists Example.ipynb plus diffusion/attack code","Official code/protocol artifact is visible, but no immutable committed split manifest, row-score array, response/feature packet, ROC, metric JSON, checkpoint hash, or verifier packet was observed in this pass",Partial,Partial,Partial,Fail,Partial,Pass,internal_proxy_not_external_adjudication,blocked,block,0,0,0,admit,1,0,0,admit,1,0,0,admit,1,0,0,block,0,0,0,block,0,0,0,block,0,0,0
