claim_id,claim_summary,source_artifact,provenance_ids,replay_tier,availability_tier,trace_type,target_gate,split_gate,evidence_gate,metric_gate,boundary_gate,delta_gate,first_blocker,gate_note,evidence_state,allowed_wording
C1,Five heterogeneous diffusion privacy audit rows can be reported under one evidence contract with explicit replay strength.,admitted-results-summary; admitted-evidence-bundle; admitted_rows.csv,admitted-summary;admitted-bundle;admitted-rows-csv,mixed: row-score-replay; target-score-replay; source-documented-point-estimate,research-workspace + paper-workspace,bundle,Pass,Pass,Pass,Pass,Pass,N/A,,Mixed replay strength; source-documented point rows support only exact point wording.,reportable mixed-strength bundle,"Five rows are reportable only under their stated access modes, roles, and replay tiers; point estimates are not replay-admitted."
C2,The reportable bundle separates evidence roles and does not rank access modes.,admitted-evidence-bundle; admitted_rows.csv,admitted-bundle;admitted-rows-csv,mixed by row,research-workspace + paper-workspace,bundle,Pass,Pass,Pass,Pass,Pass,N/A,,Role-separated reportability; point rows do not support intervals or dominance.,role-separated reportable inventory,Use as access/role inventory; do not rank access modes or claim statistical dominance.
C3,"H2 output-cloud is a candidate-only admission stress test, not an admitted attack.","H2 main, controls, cache-robustness, and img2img portability artifacts",h2-main;h2-label-shuffle;h2-shared-position;h2-seed177-shared-position;h2-transfer;h2-img2img-portability;h2-output-cloud-rows-csv,response/feature replay from frozen aggregate artifacts,research-workspace,packet,Pass,Pass,Pass,Pass,Fail,Fail,consumer boundary and img2img portability,"H2-family metrics are recorded, but the packet is not admitted for consumer reporting or portability.",candidate failed-admission stress test,Same-family H2 candidate evidence only; not admitted for consumer reporting or portability by default.
C4,H2 same-family controls support stability evidence but not cross-model portability.,"H2 shared-position, seed-stability, and cache-robustness artifacts",h2-shared-position;h2-shared-position-shuffle;h2-seed177-shared-position;h2-seed177-shuffle;h2-transfer;h2-output-cloud-rows-csv,response/feature replay from frozen aggregate artifacts,research-workspace,packet,Pass,Pass,Pass,Pass,Partial,Fail,non-adjacent model/data response asset,"Same-family controls support within-family stability, not cross-model portability.",same-family stability support,Same-family stability evidence only; no cross-model or cross-dataset portability claim.
C5,"Blocked second-asset and public-surface routes are route-selection evidence, not universal negative claims.","negative_support_rows.csv, source-provenance sidecars, and evidence notes",negative-support-curated;negative-support-rows-csv;rediffuse-stl10-bounded-scout;rediffuse-stl10-score-norm;stl10-rediffuse-route-summary;commoncanvas-denoising;tracing-roots-feature-packet;midst-blending-scout;sd-rediffuse-collaborator;mofit-public-score-preflight;mofit-public-replay-script;mofit-public-score-metrics;mofit-public-gate-status;mofit-public-caption-position-manifest;c14-e2-external-adjudication-preregistration;sama-dlm-public-surface-check;miaept-tabular-public-surface-check;diffusion-mia-public-surface-check;remia-tabular-public-result-archive-check;openlvlm-vlm-public-surface-check;openlvlm-vlm-public-surface-csv;e2-high-value-delta-refresh;e2-high-value-delta-refresh-csv;e2-high-value-delta-watchlist;e2-high-value-delta-gate-queue;artifact-corpus-v1;artifact-fixed-search,"mixed: metadata, support, scoreable, or negative",paper-workspace + research-workspace,aggregate,Partial,Partial,Partial,Partial,Partial,Partial,"route-specific target, split, metric, consumer, or delta gate","Aggregate route-selection claim; score-bearing rows, source-provenance sidecars, and evidence notes retain separate gates.",support/negative route-selection and public-surface boundary evidence,Use to explain route decisions and public-surface blockers; do not claim all such methods fail or promote sidecars into metric rows.
C6,Direction C v1 structures 21 selected evidence-note surfaces into artifact strata and gate labels.,artifact_corpus_v1.csv; direction-c-corpus-v1.md,artifact-corpus-v1,selected-corpus metadata and mixed evidence levels,paper-workspace,selected-corpus,N/A,N/A,Pass,N/A,Pass,N/A,"selected corpus, not prevalence sample","Trace covers corpus structure, not admission of every row.",claim-support taxonomy evidence,Structured selected starter corpus; not field-wide prevalence.
C7,The fixed-search batch is metadata-only selection-process evidence.,artifact_corpus_fixed_search_20260526.csv; direction-c-fixed-search-batch-20260526.md,artifact-fixed-search,metadata-only,paper-workspace,metadata-batch,Fail,Fail,Fail,Fail,Fail,N/A,target/split/evidence/metric surfaces absent,No metadata-only fixed-search row is promoted into an admitted audit row.,metadata process trace,No new admitted row in this frozen batch; no field-wide prevalence or reliability claim.
C8,Selected corpora can be summarized as gate-label counts for claim-control drafting.,artifact_gate_summary.csv; artifact_gate_summary.pdf,artifact-gate-summary-csv,generated selected-corpus summary,paper-workspace,summary,N/A,N/A,Pass,N/A,Pass,N/A,selected-corpus denominator,Summary counts inherit selected-corpus boundaries.,claim-control summary,Counts describe only coded rows in selected corpora.
C9,Direction C rows support different L0-L3 claim-support levels.,direction-c brief and manuscript draft,artifact-corpus-v1;artifact-fixed-search;artifact-gate-summary-csv;artifact-claim-support-csv,taxonomy over selected-corpus evidence levels,paper-workspace,taxonomy,N/A,N/A,Pass,N/A,Pass,N/A,mixed strata cannot be pooled,Taxonomy claim; individual corpus rows retain their own gate labels.,same-team taxonomy evidence,"Separate metadata, artifact inspection, score/replay, and admitted evidence; no pooled reproducibility denominator."
C10,The bounded second-pass review found no admitted-like fixed-search row and adopted two tightenings.,direction-c-second-pass-label-review-20260526.md; artifact_second_pass_label_review_20260526.csv,artifact-second-pass,same-team label-hygiene review,paper-workspace,review-trace,N/A,N/A,Pass,N/A,Pass,N/A,not independent human reliability,Internal QA trace; not a coding-reliability protocol.,internal label hygiene,Use as QA/resolution trace; not inter-rater reliability or prevalence evidence.
C11,AUC uncertainty is reported only for rows with direct score arrays or recorded H2 aggregate intervals.,metric_uncertainty.csv,metric-uncertainty-csv;pia-row-scores;pia-dropout-row-scores;dpdm-target-scores;h2-main;h2-shared-position;h2-seed177-shared-position;h2-transfer,row-score bootstrap; target-score bootstrap; recorded candidate aggregate interval,paper-workspace + research-workspace,uncertainty-sidecar,N/A,N/A,Pass,Pass,Pass,N/A,no direct score array or only candidate aggregate interval,"Intervals apply only to eligible uncertainty claims, not every reportable row.",uncertainty sidecar,"Intervals are sidecar provenance only; no p-values, dominance, or admission upgrade."
C12,"The broader source pass adds no-download HF, Zenodo, and OpenReview metadata-screening/query hygiene without adding admitted rows.",artifact_corpus_broader_source_20260527.csv; direction-c-broader-source-pass-20260527.md,artifact-broader-source,metadata-only query hygiene,paper-workspace,metadata-batch,Fail,Fail,Fail,Fail,Fail,Partial,no new row-bound public score or response packet,API metadata pass; titled OpenReview hit duplicates a fixed-search arXiv row.,metadata-screening query hygiene,"Use as no-download metadata-screening/query hygiene only; not field prevalence, replayability, or reliability evidence."
C13,The targeted artifact-link pass recovers three non-pooled L1 public artifact surfaces from existing metadata-only rows.,artifact_corpus_targeted_artifact_links_20260527.csv; direction-c-targeted-artifact-link-pass-20260527.md,artifact-targeted-link,L1 artifact inspection; no score replay,paper-workspace,targeted-artifact-link,Partial,Partial,Partial,Fail,Partial,Pass,"no row-score, response/feature packet, ROC, metric JSON, checkpoint hash, or verifier packet","Targeted pass recovered one HF dataset split artifact, one official SecMI code/split tree, and one official MIDM code/protocol surface; no downloads or clones.",non-pooled L1 artifact inspection,"Use as targeted L1 inspection evidence only; not score replay, metric reproduction, admission, prevalence, or pooled denominator."
C14,Thirteen E2 public surfaces form a pre-label stress-control packet for weak-rule comparison.,e2_false_promotion_exemplar_summary_2026_06_07.csv; false_promotion_exemplars.csv; false_promotion_external_review_packet.csv; false_promotion_blinded_review_packet.csv; false_promotion_adjudication_key.csv; false_promotion_external_review_template.csv; false_promotion_row_trace.csv; false_promotion_author_gate_matrix.csv; false_promotion_gate_summary.csv; direction-a-false-promotion-audit-codebook.md,e2-false-promotion-summary;false-promotion-exemplars-csv;false-promotion-summary-csv;false-promotion-review-packet-csv;false-promotion-blinded-packet-csv;false-promotion-adjudication-key-csv;false-promotion-review-template-csv;false-promotion-row-trace-csv;false-promotion-author-gate-matrix-csv;false-promotion-gate-summary-csv;false-promotion-codebook-md,no-download public-surface classification; no score replay,research-workspace + paper-workspace,prelabel-stress-control,Partial,Partial,Partial,Partial,Fail,N/A,"weak public surfaces lack the target-bound response/score packet, metric packet, or per-sample membership consumer boundary required for the promoted claim","Rows test weak promotion rules plus semantic and consumer-boundary errors; none becomes N50 denominator, admitted evidence, or compute release.",pre-label stress-control object,"Use as weak-rule, semantic-boundary, and consumer-boundary stress-control examples only; not external adjudication evidence, admitted response/score evidence, or a denominator."
C15,The release-wording regression matrix checks selected renderer and phrase-guard failure modes.,report_correctness_fault_injection.csv; direction-d-report-correctness-fault-injection.md,report-correctness-fault-csv;report-correctness-fault-md;manuscript-claim-audit-csv,release-packet regression checks; no deployment evidence,paper-workspace,release-wording-check,N/A,N/A,Pass,N/A,Partial,N/A,"no external-use, deployment, report-drift, or reviewer-reliability evidence","Twenty-eight selected renderer and direct phrase-scan cases matched their specified rule labels; this is release-packet QA, not systems effectiveness evidence.",release-wording sanity packet,"Use as selected release renderer and phrase-guard QA only; not report-drift reduction, external-use, deployment, user-impact, or reviewer-reliability evidence."
